"movieid","titre","summary","certificat","duration","poster","directors","writers","stars"
6428,Sierra torride,"When a former Civil War soldier saves a nun from a gang of bandits, they team up to help the Mexicans in their war against the French.",Tous publics,"1h 56m",https://m.media-amazon.com/images/M/MV5BNGU4NGVjODUtNzAzYS00ZmUyLWFkMDQtNzgwM2Q5OGZjYzZjXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_FMjpg_UX398_.jpg,Don Siegel,Budd Boetticher|Albert Maltz,Clint Eastwood|Shirley MacLaine|Manolo Fábregas
3072,Éclair de lune,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",Tous publics,"1h 42m",https://m.media-amazon.com/images/M/MV5BMTY3MjY1MjY2MF5BMl5BanBnXkFtZTYwNzM1OTg4._V1_FMjpg_UX336_.jpg,Norman Jewison,John Patrick Shanley,Cher|Nicolas Cage|Olympia Dukakis
7238,Cendres et diamant,"As World War II and the German occupation ends, the Polish resistance and the Soviet forces turn on each other in an attempt to take over leadership in Communist Poland.",Tous publics,"1h 43m",https://m.media-amazon.com/images/M/MV5BZWQ5MjBiOTgtZGJhNi00MGI3LTkyN2QtZWY3NTUxZWFkOTA2XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX1133_.jpg,Andrzej Wajda,Jerzy Andrzejewski|Andrzej Wajda,Zbigniew Cybulski|Ewa Krzyzewska|Waclaw Zastrzezynski
8938,Tarnation,"Filmmaker Jonathan Caouette's documentary on growing up with his schizophrenic mother -- a mixture of snapshots, Super-8 film, answering machine messages, video diaries, early short films, and more - culled from nineteen years of his life.",Unrated,"1h 28m",https://m.media-amazon.com/images/M/MV5BMTI5MTUwODQ5Ml5BMl5BanBnXkFtZTcwOTYyODYyMQ@@._V1_FMjpg_UX311_.jpg,Jonathan Caouette,Jonathan Caouette,Jonathan Caouette|Renee Leblanc|Adolph Davis
261,Les quatre filles du Docteur March,The March sisters live and grow in post-Civil War America.,Tous publics,"1h 55m",https://m.media-amazon.com/images/M/MV5BYjJhN2Q2MjctYWI1MS00OWZjLTgxZmQtOTEzM2IxMGRmNGI5XkEyXkFqcGdeQXVyNDI3NjU1NzQ@._V1_FMjpg_UX500_.jpg,Gillian Armstrong,Louisa May Alcott|Robin Swicord,Susan Sarandon|Winona Ryder|Kirsten Dunst
165645,Bad Santa 2,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",R,"1h 32m",https://m.media-amazon.com/images/M/MV5BMjM2MjE5Mzc4OF5BMl5BanBnXkFtZTgwMjc3NjEyMDI@._V1_FMjpg_UY720_.jpg,Mark Waters,Johnny Rosenthal|Shauna Cross|Glenn Ficarra,Billy Bob Thornton|Kathy Bates|Tony Cox
2153,Chapeau melon et bottes de cuir,Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.,Tous publics,"1h 29m",https://m.media-amazon.com/images/M/MV5BNjgwN2I0MDgtZmUxYy00ZmViLWI1Y2MtNTI4MmQzYWM1YzkyXkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_FMjpg_UX400_.jpg,Jeremiah S. Chechik,Sydney Newman|Don MacPherson,Ralph Fiennes|Uma Thurman|Sean Connery
47491,Adam's Apples,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.,Tous publics,"1h 34m",https://m.media-amazon.com/images/M/MV5BOTg1MWQ3N2UtOGFhOS00YzNjLWI4N2UtODM0ZjAxYjNjNDg4XkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_FMjpg_UX300_.jpg,Anders Thomas Jensen,Anders Thomas Jensen,Ulrich Thomsen|Mads Mikkelsen|Nicolas Bro
101864,Oblivion,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,Tous publics,"2h 4m",https://m.media-amazon.com/images/M/MV5BMTQwMDY0MTA4MF5BMl5BanBnXkFtZTcwNzI3MDgxOQ@@._V1_FMjpg_UX1000_.jpg,Joseph Kosinski,Karl Gajdusek|Michael Arndt|Joseph Kosinski,Tom Cruise|Morgan Freeman|Andrea Riseborough
3061,L'amour chante et danse,"At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer.",Tous publics,"1h 40m",https://m.media-amazon.com/images/M/MV5BMTg2MTMyOTY0NF5BMl5BanBnXkFtZTgwNDE4NTQzMjE@._V1_FMjpg_UX328_.jpg,Mark Sandrich|Robert Allen,Claude Binyon|Elmer Rice|Irving Berlin,Bing Crosby|Fred Astaire|Marjorie Reynolds
66427,My Name Is Bruce,"Mistaken for his character Ash from the 'Evil Dead' trilogy, Bruce Campbell is forced to fight a real monster in a small Oregon town.",R,"1h 24m",https://m.media-amazon.com/images/M/MV5BMTU1OTU1ODkxM15BMl5BanBnXkFtZTcwMjMyMzYxMg@@._V1_FMjpg_UX518_.jpg,Bruce Campbell,Mark Verheiden,Bruce Campbell|Grace Thorsen|Taylor Sharpe
2391,Un plan simple,"Three blue-collar acquaintances come across millions of dollars in lost cash and make a plan to keep their find from the authorities, but it isn't long before complications and mistrust weave their way into the plan.",Tous publics avec avertissement,"2h 1m",https://m.media-amazon.com/images/M/MV5BOTAxZGRjYmUtZDQ5Ny00NWFhLThjZTUtNmVlOTIzMzQ4NDBiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UY720_.jpg,Sam Raimi,Scott B. Smith,Bill Paxton|Billy Bob Thornton|Bridget Fonda
7099,Nausicaä de la vallée du vent,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Tous publics,"1h 57m",https://m.media-amazon.com/images/M/MV5BMTk4NDA3YmEtYTY1Ni00NzQ1LTkxMDQtZjNjZGQzNWJlZmMwXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX1000_.jpg,Hayao Miyazaki,Hayao Miyazaki|Cindy Davis|Donald H. Hewitt,Sumi Shimamoto|Mahito Tsujimura|Hisako Kyôda
2060,BASEketball,"Two childhood friends are pro athletes of a national sport called BASEketball, a hybrid of baseball and basketball, and must deal with a greedy businessman scheming against their team.",Tous publics,"1h 43m",https://m.media-amazon.com/images/M/MV5BMjZiMTY2ZjMtZjcyYi00MTI0LWI1Y2QtYWFiZGJkMjg1NDBjXkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_FMjpg_UX1000_.jpg,David Zucker,David Zucker|Robert LoCash|Lewis Friedman,Trey Parker|Matt Stone|Dian Bachar
1984,Halloween 3: Le sang du sorcier,Kids all over America want Silver Shamrock masks for Halloween. Doctor Daniel Challis seeks to uncover a plot by Silver Shamrock owner Conal Cochran.,"13","1h 38m",https://m.media-amazon.com/images/M/MV5BN2YzYjI0MWYtYWUyZS00ZDQ4LWEzN2EtMDU4NDJmNjA2ZWFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX542_.jpg,Tommy Lee Wallace,Tommy Lee Wallace|John Carpenter|Nigel Kneale,Tom Atkins|Stacey Nelkin|Dan O'Herlihy
1105,Les Démons du maïs 4 : La Moisson,"A nurse returns to her hometown in Nebraska, only to find that the town's children have fallen under a mysterious mass illness connected to its sinister past.",R,"1h 25m",https://m.media-amazon.com/images/M/MV5BMDU4ZjBiMGYtNTIxZC00Mjk2LWFkZGMtNWJkMjEyMmNiY2QzXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_FMjpg_UX1156_.jpg,Greg Spence,Stephen King|Stephen Berger|Greg Spence,Naomi Watts|Jamie Renée Smith|Karen Black
8640,Le roi Arthur,A demystified take on the tale of King Arthur and the Knights of the Round Table.,Tous publics,"2h 6m",https://m.media-amazon.com/images/M/MV5BMTk4MTk1NjI0OV5BMl5BanBnXkFtZTcwNDQxOTUyMQ@@._V1_FMjpg_UX510_.jpg,Antoine Fuqua,David Franzoni,Clive Owen|Stephen Dillane|Keira Knightley
173205,The Meyerowitz Stories (New and Selected),An estranged family gathers together in New York City for an event celebrating the artistic work of their father.,TV-MA,"1h 52m",https://m.media-amazon.com/images/M/MV5BYzRhZDUyYjktOTdmNi00MTYzLTljYmMtYjM3Y2Y4OTYwYzcyXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_FMjpg_UX983_.jpg,Noah Baumbach,Noah Baumbach,Adam Sandler|Grace Van Patten|Dustin Hoffman
27178,Julie en juillet,"A young, insecure teacher embarks on a journey through Europe to Turkey, where he wants to see a woman again whom he believes to be his fate.","2000","1h 39m",https://m.media-amazon.com/images/M/MV5BZTdiZTIwZjctNjIwOC00NGQ1LThlNzAtMTQxNjE3YTUzMzNhXkEyXkFqcGdeQXVyODYxMTIwOTY@._V1_FMjpg_UX1027_.jpg,Fatih Akin,Fatih Akin,Moritz Bleibtreu|Christiane Paul|Mehmet Kurtulus
73499,MacGyver: Le trésor de l'atlantide,"MacGyver and his former college professor are first hunting some artifacts attributed to Zenon, an ancient scientist from Atlantis, and later the lost city of Atlantis itself.","1994","1h 33m",https://m.media-amazon.com/images/M/MV5BMzFlMWM3ZTEtMGQ3NC00NWExLTg5NzctODZiYTkyMmQxNzMwXkEyXkFqcGdeQXVyOTcyOTk0MzU@._V1_FMjpg_UX750_.jpg,Michael Vejar,Lee David Zlotoff|John Sheppard,Richard Dean Anderson|Brian Blessed|Sophie Ward
82459,True Grit,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Tous publics,"1h 50m",https://m.media-amazon.com/images/M/MV5BYjU3MmMzM2YtYTg0ZC00YjJjLWEzYjktMzk2ZmIxN2U5ZTA2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzc5Nzk1NDY@._V1_FMjpg_UX719_.jpg,Ethan Coen|Joel Coen,Joel Coen|Ethan Coen|Charles Portis,Jeff Bridges|Matt Damon|Hailee Steinfeld
2266,La femme du boucher,"A clairvoyant impulsively marries a butcher, moves to New York City and has a positive impact on the people she meets, changing their futures...which in turn changes hers.",PG-13,"1h 47m",https://m.media-amazon.com/images/M/MV5BZGZhMDVmOTItYzU2ZS00ZjZjLTgyYmMtZjQ5ODMzZDEyZGEyXkEyXkFqcGdeQXVyNjYyMTYxMzk@._V1_FMjpg_UX680_.jpg,Terry Hughes,Ezra Litwak|Marjorie Schwartz Nielsen,Demi Moore|Jeff Daniels|George Dzundza
93193,Red Hill,A young police officer must survive his first day's duty in a small country town.,R,"1h 35m",https://m.media-amazon.com/images/M/MV5BMjQyNjA0MjEzNl5BMl5BanBnXkFtZTcwNjkyNDU5Mw@@._V1_FMjpg_UY720_.jpg,Patrick Hughes,Patrick Hughes,Ryan Kwanten|Steve Bisley|Tommy Lewis
616,Les Aristochats,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",Tous publics,"1h 18m",https://m.media-amazon.com/images/M/MV5BYmY1OTg3ZjYtMmI0Yi00MmRlLWEwYTUtMWFkYmI4Mjk3NmU3XkEyXkFqcGdeQXVyMjgyOTI1ODY@._V1_FMjpg_UX288_.jpg,Wolfgang Reitherman,Larry Clemmons|Vance Gerry|Ken Anderson,Phil Harris|Eva Gabor|Sterling Holloway
8481,Le grand passage,"Langdon Towne and Hunk Marriner join Major Rogers' Rangers as they wipe out an Indian village. They set out for Fort Wentworth, but when they arrive they find no soldiers and none of the supplies they expected.",Tous publics,"2h 6m",https://m.media-amazon.com/images/M/MV5BOGM1YjE5ZGUtNzYxZS00NzFhLTk2OTAtODVkZWRmZDdmMWIxXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_FMjpg_UY720_.jpg,King Vidor|Jack Conway|W.S. Van Dyke,Laurence Stallings|Talbot Jennings|Kenneth Roberts,Spencer Tracy|Robert Young|Walter Brennan
165139,Wild Oats,Everything changes for Eva when she receives a life insurance check accidentally made out for five million dollars instead of the expected fifty thousand dollars. She and her best friend take the money and head out for the adventure of a lifetime.,PG-13,"1h 26m",https://m.media-amazon.com/images/M/MV5BODFhMGQyMjItNDQ1ZS00ZTFmLTkzZWQtMDMxNTYxMDExMTJiXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UY720_.jpg,Andy Tennant,Claudia Myers|Gary Kanew,Shirley MacLaine|Jessica Lange|Demi Moore
187595,Solo: A Star Wars Story,"During an adventure in the criminal underworld, Han Solo meets his future co-pilot Chewbacca and Lando Calrissian years before joining the Rebel Alliance.",Tous publics,"2h 15m",https://m.media-amazon.com/images/M/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_FMjpg_UY720_.jpg,Ron Howard,Jonathan Kasdan|Lawrence Kasdan|George Lucas,Alden Ehrenreich|Woody Harrelson|Emilia Clarke
55190,Love (et ses petits désastres),An American intern at U.K. Vogue helps her friends find love.,R,"1h 30m",https://m.media-amazon.com/images/M/MV5BMzNiNWRiZTAtOGJhMi00NTc5LWIzYTYtNzc1MjcxN2JjZTMwXkEyXkFqcGdeQXVyMTM2ODk1OTQ@._V1_FMjpg_UX600_.jpg,Alek Keshishian,Alek Keshishian,Brittany Murphy|Matthew Rhys|Catherine Tate
4825,La ciénaga,"The life of two women and their families in a small provincial town of Salta, Argentina.",Tous publics,"1h 43m",https://m.media-amazon.com/images/M/MV5BYjFiYmYyYWItMTllNi00ODc0LWE0YmUtZWNmNGFiMTk5MTNkXkEyXkFqcGdeQXVyMTYzMzQwMTM@._V1_FMjpg_UX1280_.jpg,Lucrecia Martel,Lucrecia Martel,Mercedes Morán|Graciela Borges|Martín Adjemián
3389,Six hommes pour sauver Harry,"When Colombian revolutionaries kidnap an American engineer, his brother and friends, faced with official inaction, hire a mercenary and mount the rescue operation themselves.",R,"1h 42m",https://m.media-amazon.com/images/M/MV5BYzRkNDVjMmMtOGM0Ni00NzlmLTkyYzMtYTk2NmViMWIwNTBkXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_FMjpg_UX513_.jpg,Stuart Rosenberg,Mark Feldberg|Samuel Fuller|Charles Robert Carner,Michael Schoeffling|Tom Wilson|Fidel Abrego
127136,True Story,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.,Tous publics,"1h 39m",https://m.media-amazon.com/images/M/MV5BNjdjM2YxMGQtZWVjYi00Yjc3LWE4MjktZWI5MjAzYmFiMjcyXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_FMjpg_UX729_.jpg,Rupert Goold,Rupert Goold|David Kajganich|Michael Finkel,James Franco|Jonah Hill|Felicity Jones
26142,Major Dundee,"In 1864, due to frequent Apache raids from Mexico into the U.S., a Union officer decides to illegally cross the border and destroy the Apache, using a mixed army of Union troops, Confederate POWs, civilian mercenaries, and scouts.",Approved,"2h 3m",https://m.media-amazon.com/images/M/MV5BZWVlNWY2Y2MtN2Q5NS00YjJmLTkzMDMtYzY2NzYxNzlhNDhiXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_FMjpg_UX568_.jpg,Sam Peckinpah,Harry Julian Fink|Oscar Saul|Sam Peckinpah,Charlton Heston|Richard Harris|Jim Hutton
117529,Jurassic World,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Tous publics avec avertissement,"2h 4m",https://m.media-amazon.com/images/M/MV5BNzUyZjM3NjQtMzZmNC00OWJhLThlZTEtNmFlMDhmYzhjYjQzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX500_.jpg,Colin Trevorrow,Rick Jaffa|Amanda Silver|Colin Trevorrow,Chris Pratt|Bryce Dallas Howard|Ty Simpkins
2475,Paiement cash,A secret fling between a man and his mistress leads to blackmail and murder.,"12","1h 50m",https://m.media-amazon.com/images/M/MV5BZGM3MDJjYTgtNDc1MC00NWM1LTlmOGItMmEzNjUzY2M1MzQ5XkEyXkFqcGdeQXVyMjg2NzkwNTY@._V1_FMjpg_UX550_.jpg,John Frankenheimer,Elmore Leonard|John Steppling,Roy Scheider|Ann-Margret|Vanity
81949,Les meilleurs amis,Seven close friends reunite for the wedding of two of their friends. Problems arise because the bride and the maid of honor have had a long rivalry over the groom.,PG-13,"1h 35m",https://m.media-amazon.com/images/M/MV5BODg3NDVmNjMtM2Q2ZS00MTZhLThlNGEtZTYxODRhMmJhZTEyXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_FMjpg_UX532_.jpg,Galt Niederhoffer,Galt Niederhoffer,Katie Holmes|Anna Paquin|Josh Duhamel
25898,Jour de colère,The young wife of an aging priest falls in love with his son amidst the horror of a merciless witch hunt in 17th-century Denmark.,Tous publics,"1h 37m",https://m.media-amazon.com/images/M/MV5BNDE1ZjIzMGYtYzBlNC00NDNiLTk3YTAtOTdmNDg5YzE5MTU4XkEyXkFqcGdeQXVyNjg2NjExMzY@._V1_FMjpg_UX1000_.jpg,Carl Theodor Dreyer,Carl Theodor Dreyer|Poul Knudsen|Paul La Cour,Thorkild Roose|Lisbeth Movin|Sigrid Neiiendam
8880,Mask,A teenager with a massive facial skull deformity and biker gang mother attempt to live as normal a life as possible under the circumstances.,Tous publics,"2h",https://m.media-amazon.com/images/M/MV5BYWQ2OWIwMzEtNDRlYy00MDMzLTg5ZTgtMWM0ODc0YjNiNDJiXkEyXkFqcGdeQXVyMzQ4ODczODQ@._V1_FMjpg_UY720_.jpg,Peter Bogdanovich,Anna Hamilton Phelan,Cher|Eric Stoltz|Sam Elliott
8459,L'héritière,A naive young woman falls for a handsome young man her emotionally abusive father suspects is only a fortune hunter.,Tous publics,"1h 55m",https://m.media-amazon.com/images/M/MV5BMjZjNmVmYTMtM2U1ZS00MzNmLWExODAtMTI5MDhkZDZmYTgwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX580_.jpg,William Wyler,Ruth Goetz|Augustus Goetz|Henry James,Olivia de Havilland|Montgomery Clift|Ralph Richardson
79553,"Ip Man 2, le retour du grand maître",Centering on Ip Man's migration to Hong Kong in 1949 as he attempts to propagate his discipline of Wing Chun martial arts.,"12","1h 48m",https://m.media-amazon.com/images/M/MV5BZjcyMmJhMTUtYmNkYy00YzM4LThmYmMtNjA2MDIxZWMwZTI0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX971_.jpg,Wilson Yip,Tai-Lee Chan|Hiu-Yan Choi|David Tadman,Donnie Yen|Xiaoming Huang|Sammo Kam-Bo Hung
2942,Flashdance,"An 18-year-old female amateur dancer who performs nightly at a dancing bar, and works as a welder during the day, dreams of joining the Pittsburgh ballet school.",Tous publics,"1h 35m",https://m.media-amazon.com/images/M/MV5BMjk0OTU1MmYtZWMwMC00MTIzLWE0NTctZjg0ZTMwMWYzZmEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UY720_.jpg,Adrian Lyne,Thomas Hedley Jr.|Joe Eszterhas,Jennifer Beals|Michael Nouri|Lilia Skala
428,Il était une fois le Bronx,"An intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss.",Tous publics,"2h 1m",https://m.media-amazon.com/images/M/MV5BMTk1MTE5OTI1MF5BMl5BanBnXkFtZTYwOTg1NDc4._V1_FMjpg_UX292_.jpg,Robert De Niro,Chazz Palminteri,Robert De Niro|Chazz Palminteri|Lillo Brancato
117646,Cœur de dragon II : Un nouveau départ,An orphaned stable boy befriends with a young dragon named Drake and with the help of others help him learn how to fly and fight and protect himself from a ruthless knight.,Tous publics,"1h 24m",https://m.media-amazon.com/images/M/MV5BMTUxOTM3NzA0MV5BMl5BanBnXkFtZTYwMzkwNDA5._V1_FMjpg_UX298_.jpg,Doug Lefler,Patrick Read Johnson|Charles Edward Pogue|Shari Goodhartz,Christopher Masterson|Harry Van Gorkum|Rona Figueroa
2439,Affliction,A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,Tous publics,"1h 54m",https://m.media-amazon.com/images/M/MV5BOTY5MjM2OGMtNWEwNS00NDk4LTlmMDAtMWIxNjZhYjA1ZTIxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg,Paul Schrader,Russell Banks|Paul Schrader,Nick Nolte|Sissy Spacek|James Coburn
82641,Un seul bras les tua tous,"A noble swordsman, whose arm had been chopped off, returns to his former teacher to defend him from a villainous gang of rival swordsmen.","12","1h 55m",https://m.media-amazon.com/images/M/MV5BMWMwZmZjNTMtNTA4Zi00YTAwLWIxNGMtMjFiYWRlZmI3YzRiXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_FMjpg_UY720_.jpg,Cheh Chang,Cheh Chang|Kuang Ni,Jimmy Wang Yu|Chiao Chiao|Chung-Hsin Huang
74530,Percy Jackson: Le voleur de foudre,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,Tous publics,"1h 58m",https://m.media-amazon.com/images/M/MV5BZDNmMWY4MWUtNTBmNi00ZWU5LWIyY2UtNTk5NmFlNjA4NjM0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX1200_.jpg,Chris Columbus,Craig Titley|Rick Riordan,Logan Lerman|Kevin McKidd|Steve Coogan
1232,Stalker,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Tous publics,"2h 42m",https://m.media-amazon.com/images/M/MV5BNDY2NjU0NDAxOF5BMl5BanBnXkFtZTgwNjQ4MTI2MTE@._V1_FMjpg_UX351_.jpg,Andrei Tarkovsky,Arkadiy Strugatskiy|Boris Strugatskiy|Andrei Tarkovsky,Alisa Freyndlikh|Aleksandr Kaydanovskiy|Anatoliy Solonitsyn
1904,Henry Fool,"An introverted garbageman writes his thoughts in a notebook after Henry Fool, writer and ex-con, rents the basement and gives him a notebook and the idea. He writes poetry and Henry helps him along.",Tous publics,"2h 17m",https://m.media-amazon.com/images/M/MV5BOGMyMThlOGQtNDNiMy00NzZlLThjNzMtNzc4N2FkZmQzZTYzXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_FMjpg_UX1280_.jpg,Hal Hartley,Hal Hartley,Thomas Jay Ryan|James Urbaniak|Parker Posey
3967,Billy Elliot,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,Tous publics,"1h 50m",https://m.media-amazon.com/images/M/MV5BMTY1NzU0MTQyOV5BMl5BanBnXkFtZTgwMjI1NzUyNjM@._V1_FMjpg_UY720_.jpg,Stephen Daldry,Lee Hall,Jamie Bell|Julie Walters|Jean Heywood
2008,Liens secrets,"In 1950s, two incestuous lovers, a depraved suave journalist and his equally depraved prostitute sister, plan to get rich through seduction and murder. Things complicate when their feeble-minded mother begins to suspect something.","12","1h 40m",https://m.media-amazon.com/images/M/MV5BN2MxYWFkMjQtMWI2NS00N2ZkLWFjYTItOGQ5NTYzN2NkOGJlXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_FMjpg_UX500_.jpg,Michael Oblowitz,Jim Thompson|Larry Gross,Billy Zane|Gina Gershon|Christian Durango
